127.0.0.1, 2014-11-02 21:04:23, GET, /, HTTP/1.1, 303, 0.000935
127.0.0.1, 2014-11-02 21:04:25, GET, /welcome/default/index, HTTP/1.1, 200, 1.641071
127.0.0.1, 2014-11-02 21:04:25, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000406
127.0.0.1, 2014-11-02 21:04:34, GET, /admin/default/index, HTTP/1.1, 200, 0.104468
127.0.0.1, 2014-11-02 21:04:37, POST, /admin/default/index, HTTP/1.1, 303, 0.040036
127.0.0.1, 2014-11-02 21:04:38, GET, /admin/default/site, HTTP/1.1, 200, 0.054871
127.0.0.1, 2014-11-02 21:04:39, POST, /admin/default/check_version, HTTP/1.1, 200, 1.507852
127.0.0.1, 2014-11-02 21:05:25, POST, /admin/default/site, HTTP/1.1, 303, 0.070654
127.0.0.1, 2014-11-02 21:05:25, GET, /admin/default/design/bookmark, HTTP/1.1, 200, 0.172489
127.0.0.1, 2014-11-02 21:05:25, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000442
127.0.0.1, 2014-11-02 21:05:25, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2014-11-02 21:05:25, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001316
127.0.0.1, 2014-11-02 21:05:25, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000708
127.0.0.1, 2014-11-02 21:05:52, GET, /, HTTP/1.1, 303, 0.000766
127.0.0.1, 2014-11-02 21:05:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.025574
127.0.0.1, 2014-11-02 21:05:52, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000540
127.0.0.1, 2014-11-02 21:05:54, GET, /admin/default/index, HTTP/1.1, 303, 0.009004
127.0.0.1, 2014-11-02 21:05:54, GET, /admin/default/site, HTTP/1.1, 200, 0.056010
127.0.0.1, 2014-11-02 21:09:54, GET, /, HTTP/1.1, 303, 0.000997
